bank_name,debit_transactions,debit_amount,credit_transactions,credit_amount,month
IDBI BANK,275792,14594.595,161308,18421.813,September 2010
INDIAN BANK,81173,4279.663,245230,7103.482,September 2010
INDIAN OVERSEAS BANK,88628,8268.807,170647,8505.328,September 2010
INDUSIND BANK,135617,5866.811,42384,4309.549,September 2010
ING VYSYA BANK,60452,1925.709,74250,4171.004,September 2010
JAMMU AND KASHMIR BANK,6052,338.744,12080,636.087,September 2010
JANAKALYAN SAHAKARI BANK,628,39.575,2644,85.510,September 2010
JP MORGAN BANK,103172,12661.362,580,394.355,September 2010
KALUPUR COMM CO-OP BANK,590,23.232,2498,93.210,September 2010
KALYAN JANATA SAHAKARI BANK,252,7.741,704,20.660,September 2010
KAPOLE BANK,55,2.303,472,18.590,September 2010
KARNATAKA BANK,25821,783.386,46936,1872.221,September 2010
KARNATAKA STATE CO-OP APEX BANK,50,1.282,84,3.201,September 2010
KARUR VYSYA BANK,21391,2431.707,67198,2360.334,September 2010
KOTAK MAHINDRA BANK,186493,6181.298,112246,11520.375,September 2010
LAKSHMI VILAS BANK,39683,742.784,14531,510.862,September 2010
MAHANAGAR CO-OP BANK,289,14.034,725,27.005,September 2010
MAHARASHTRA STATE CO-OP BANK,237,30.038,1316,47.157,September 2010
MASHREQ BANK,490,159.439,27,6.863,September 2010
MEHSANA URBAN CO-OP BANK,339,200.146,126,6.800,September 2010
MIZUHO CORP BANK,868,25.259,43,357.810,September 2010
NAINITAL BANK,1103,35.534,487,70.069,September 2010
NEW INDIA CO-OP BANK,525,13.987,2106,86.682,September 2010
NKGSB BANK,626,24.305,3551,153.205,September 2010
NUTAN NAGARIK SAHAKARI BANK,173,7.461,1349,46.494,September 2010
OMAN INTERNATIONAL BANK,1000,63.300,90,9.520,September 2010
ORIENTAL BANK OF COMMERCE,48977,1481.821,115646,5491.126,September 2010
PARSIK JANATA SAHAKARI BANK,300,13.330,2232,60.460,September 2010
PUNJAB AND MAHARASHTRA CO-OP BANK,934,21.251,4527,145.639,September 2010
PUNJAB AND SIND BANK,1692,95.271,8498,590.833,September 2010
PUNJAB NATIONAL BANK,112174,5497.941,360027,23973.455,September 2010
RATNAKAR BANK,727,28.589,1293,68.551,September 2010
RBI PAD,12532,39000.556,288,335.650,September 2010
SARASWAT CO-OP BANK,3258,387.966,21809,1745.630,September 2010
SBBJ BANK,32899,1447.953,64509,2281.754,September 2010
SHAMRAO VITHAL CO-OP BANK,3087,169.310,8614,658.963,September 2010
SHINHAN BANK,2055,161.998,170,171.195,September 2010
SOCIETE GENERALE,92,3.772,43,27.615,September 2010
SOUTH INDIAN BANK,27397,982.627,49093,1645.493,September 2010
STANDARD CHARTERED BANK,637430,43292.182,169367,24189.301,September 2010
STATE BANK OF HYDERABAD,110697,3420.192,147122,4865.016,September 2010
STATE BANK OF INDIA,1172762,46026.189,1619510,81033.322,September 2010
STATE BANK OF INDORE,7785,153.030,26382,1123.014,September 2010
STATE BANK OF MAURITIUS,100,2.950,104,35.497,September 2010
STATE BANK OF MYSORE,40456,1450.818,72815,2680.751,September 2010
STATE BANK OF PATIALA,21278,895.351,49379,2575.500,September 2010
STATE BANK OF TRAVANCORE,112189,4177.189,122927,3904.485,September 2010
SURAT PEOPLES CO-OP BANK,224,45.215,346,8.789,September 2010
SYNDICATE BANK,51836,2238.067,180596,7350.456,September 2010
TAMIL NADU STATE APEX CO-OP BANK,261,4.990,686,31.772,September 2010
TAMILNADU MERCANTILE BANK,10143,367.085,30081,1142.582,September 2010
THANE JANATA SAHAKARI BANK,2048,54.757,6408,347.008,September 2010
ROYAL BANK OF SCOTLAND N.V,125594,9613.246,88604,9926.223,September 2010
UCO BANK,28683,1219.850,54735,2130.116,September 2010
UNION BANK OF INDIA,106805,3405.364,242932,12499.262,September 2010
UNITED BANK OF INDIA,22707,3224.750,44689,2058.665,September 2010
VIJAYA BANK,30692,1017.071,80753,3152.163,September 2010
YES BANK,276500,7798.753,19513,3988.471,September 2010
ABHYUDAYA CO-OP BANK,3663,268.722,11090,369.061,October 2010
ABU DHABI COMMERCIAL BANK,568,53.017,235,44.439,October 2010
AHMEDABAD MERCANTILE CO-OP BANK,343,14.147,1509,41.662,October 2010
ALLAHABAD BANK,22876,1613.744,59218,2970.893,October 2010
ANDHRA BANK,66294,5602.301,234921,5673.544,October 2010
AXIS BANK,808480,37660.041,731073,34433.174,October 2010
BANK N PARIBAS,37193,2339.823,23365,7875.328,October 2010
BANK OF AMERICA,79035,8465.636,6229,3766.783,October 2010
BANK OF BAHARIEN AND KUWAIT,36148,990.703,739,46.257,October 2010
BANK OF BARODA,108292,3875.668,303480,14128.722,October 2010
BANK OF CEYLON,281,4.285,60,12.127,October 2010
BANK OF INDIA,102799,5289.302,315075,16203.242,October 2010
BANK OF MAHARASHTRA,30866,1797.673,98053,4751.610,October 2010
BANK OF NOVA SCOTIA,1961,82.787,435,254.311,October 2010
BANK OF RAJASTHAN,9783,385.665,28283,1027.960,October 2010
BANK OF TOKYO AND MITSUBISHI,1255,76.591,567,259.812,October 2010
BARCLAYS BANK,3837,134.138,5295,534.795,October 2010
BASSEIN CATHOLIC CO-OP BANK,294,23.681,516,20.337,October 2010
BHARAT CO-OP BANK,2797,51.390,6780,337.533,October 2010
CANARA BANK,238878,11284.225,334018,14655.958,October 2010
CATHOLIC SYRIAN BANK,10813,400.780,17798,636.632,October 2010
CENTRAL BANK OF INDIA,38898,1833.296,107506,5001.679,October 2010
CHINATRUST COMMERCIAL BANK,30,1.337,22,14.176,October 2010
CITI BANK,1217378,128974.816,375540,50329.608,October 2010
CITIZEN CREDIT CO-OP BANK,569,44.420,2166,116.786,October 2010
CITY UNION BANK,18059,476.616,28707,1061.474,October 2010
CORP BANK,85911,2837.348,133553,7576.591,October 2010
COSMOS CO-OP BANK,2264,235.906,16598,838.875,October 2010
CREDIT AGRICOLE CORP AND INVESTMENT BANK,644,52.423,224,311.919,October 2010
DENA BANK,17542,968.981,55566,3404.033,October 2010
DEUTSCHE BANK,329560,46887.389,106059,25734.368,October 2010
DEVELOPMENT BANK OF SINGAPORE,5674,1457.358,520,398.803,October 2010
DEVELOPMENT CREDIT BANK,8923,249.074,14825,807.998,October 2010
DHANALAKSHMI BANK,10081,242.925,16103,588.524,October 2010
DICGC BANK,5,0.292,35,1.760,October 2010
DOMBIVLI NAGRIK SAHAKARI BANK,793,21.427,2340,71.039,October 2010
FEDERAL BANK,75099,2605.379,95304,3688.275,October 2010
GREATER BOMBAY CO-OP BANK,699,19.427,2618,79.017,October 2010
HDFC BANK,2058513,104604.734,1372277,141309.410,October 2010
HSBC BANK,526789,42146.613,163227,18845.395,October 2010
ICICI BANK,1211206,34743.856,1598267,54350.815,October 2010
IDBI BANK,211125,12371.276,192819,16280.827,October 2010
INDIAN BANK,90873,2654.773,264815,8467.297,October 2010
INDIAN OVERSEAS BANK,104865,7831.078,201193,9837.244,October 2010
INDUSIND BANK,150117,6868.609,43320,2359.370,October 2010
ING VYSYA BANK,71338,3822.423,90008,9659.622,October 2010
JAMMU AND KASHMIR BANK,8553,429.769,14743,758.015,October 2010
JANAKALYAN SAHAKARI BANK,1148,164.799,3246,121.246,October 2010
JP MORGAN BANK,107297,15153.064,663,863.012,October 2010
KALUPUR COMM CO-OP BANK,806,33.957,3772,112.838,October 2010
KALYAN JANATA SAHAKARI BANK,269,7.266,850,21.021,October 2010
KAPOLE BANK,74,3.341,609,28.439,October 2010
KARNATAKA BANK,27617,720.363,52961,1978.201,October 2010
KARNATAKA STATE CO-OP APEX BANK,61,1.926,93,11.138,October 2010
KARUR VYSYA BANK,24265,2031.507,74950,2897.038,October 2010
KOTAK MAHINDRA BANK,206531,7420.800,128557,9396.718,October 2010
LAKSHMI VILAS BANK,30904,672.829,15179,668.643,October 2010
MAHANAGAR CO-OP BANK,369,15.397,884,45.720,October 2010
MAHARASHTRA STATE CO-OP BANK,378,54.251,1558,61.771,October 2010
MASHREQ BANK,547,179.882,23,2.829,October 2010
MEHSANA URBAN CO-OP BANK,356,25.419,289,43.267,October 2010
MIZUHO CORP BANK,1362,35.596,56,10.837,October 2010
NAINITAL BANK,1426,48.536,583,61.547,October 2010
NEW INDIA CO-OP BANK,1285,62.015,2335,94.057,October 2010
NKGSB BANK,871,59.488,3830,196.005,October 2010
NUTAN NAGARIK SAHAKARI BANK,228,11.388,2751,76.668,October 2010
OMAN INTERNATIONAL BANK,1211,93.918,126,5.269,October 2010
ORIENTAL BANK OF COMMERCE,53971,2200.573,134548,6938.666,October 2010
PARSIK JANATA SAHAKARI BANK,423,20.440,2324,86.063,October 2010
PUNJAB AND MAHARASHTRA CO-OP BANK,1127,29.790,5351,578.710,October 2010
PUNJAB AND SIND BANK,1838,89.545,10146,718.137,October 2010
PUNJAB NATIONAL BANK,119464,5483.434,430960,23410.172,October 2010
RATNAKAR BANK,1440,35.389,1572,95.783,October 2010
RBI PAD,18962,100399.062,420,358.508,October 2010
SARASWAT CO-OP BANK,4324,286.199,29230,2269.005,October 2010
SBBJ BANK,40448,1699.270,74605,2782.878,October 2010
SHAMRAO VITHAL CO-OP BANK,3762,191.165,9767,820.701,October 2010
SHINHAN BANK,2562,216.898,187,132.724,October 2010
SOCIETE GENERALE,80,3.758,57,6.761,October 2010
SOUTH INDIAN BANK,31671,1115.846,57385,1769.009,October 2010
STANDARD CHARTERED BANK,702062,53130.641,181128,29007.475,October 2010
STATE BANK OF HYDERABAD,126713,3710.081,211008,9614.698,October 2010
STATE BANK OF INDIA,1400197,56950.558,1951492,160129.340,October 2010
STATE BANK OF MAURITIUS,95,2.916,105,36.704,October 2010
STATE BANK OF MYSORE,50243,1723.130,83536,2913.538,October 2010
STATE BANK OF PATIALA,24447,1250.726,55612,2876.311,October 2010
STATE BANK OF TRAVANCORE,120172,4379.397,139893,4030.681,October 2010
SURAT PEOPLES CO-OP BANK,396,16.340,377,11.795,October 2010
SYNDICATE BANK,54945,2323.600,214675,7663.088,October 2010
TAMIL NADU STATE APEX CO-OP BANK,286,4.582,670,95.417,October 2010
TAMILNADU MERCANTILE BANK,11730,421.969,32901,1191.952,October 2010
THANE JANATA SAHAKARI BANK,2607,74.107,7782,536.983,October 2010
ROYAL BANK OF SCOTLAND N.V,146364,10303.075,96280,7858.006,October 2010
UCO BANK,30607,1402.940,68060,2569.217,October 2010
UNION BANK OF INDIA,129663,4173.324,284352,12846.165,October 2010
UNITED BANK OF INDIA,23178,1078.912,53663,2356.583,October 2010
VIJAYA BANK,32637,1511.509,96435,3847.843,October 2010
YES BANK,271412,13214.374,21865,2848.879,October 2010
ABHYUDAYA CO-OP BANK,4518,292.602,10684,356.159,November 2010
ABU DHABI COMMERCIAL BANK,888,102.127,258,61.110,November 2010
AHMEDABAD MERCANTILE CO-OP BANK,446,34.759,1662,59.164,November 2010
ALLAHABAD BANK,32752,2430.945,63611,2891.300,November 2010
ANDHRA BANK,70580,7947.952,206283,7271.083,November 2010
AXIS BANK,759164,37130.284,742237,40289.746,November 2010
BANK N PARIBAS,36116,2544.561,40148,9627.013,November 2010
BANK OF AMERICA,73672,8507.502,7492,4813.666,November 2010
BANK OF BAHARIEN AND KUWAIT,37064,1205.848,702,54.335,November 2010
BANK OF BARODA,134686,7570.698,299837,15554.678,November 2010
BANK OF CEYLON,296,11.008,71,8.239,November 2010
BANK OF INDIA,112329,5455.224,316187,16514.204,November 2010
BANK OF MAHARASHTRA,37403,2629.948,93147,4154.101,November 2010
BANK OF NOVA SCOTIA,1812,133.332,479,913.832,November 2010
BANK OF RAJASTHAN,12279,905.321,29400,1890.325,November 2010
BANK OF TOKYO AND MITSUBISHI,1437,134.145,669,310.848,November 2010
BARCLAYS BANK,4188,189.721,5094,395.153,November 2010
BASSEIN CATHOLIC CO-OP BANK,309,30.101,555,28.254,November 2010
BHARAT CO-OP BANK,2390,82.185,6676,353.796,November 2010
CANARA BANK,205691,14580.431,337693,17896.898,November 2010
CATHOLIC SYRIAN BANK,12080,514.421,19044,796.949,November 2010
CENTRAL BANK OF INDIA,52659,3479.674,110907,5594.212,November 2010
CHINATRUST COMMERCIAL BANK,44,77.917,25,10.425,November 2010
CITI BANK,1152363,97138.886,395750,60371.397,November 2010
CITIZEN CREDIT CO-OP BANK,557,30.416,1972,142.723,November 2010
CITY UNION BANK,19843,1162.870,30075,1333.495,November 2010
CORP BANK,96591,3691.279,135939,7021.027,November 2010
COSMOS CO-OP BANK,2754,360.429,14340,947.102,November 2010
CREDIT AGRICOLE CORP AND INVESTMENT BANK,664,49.751,205,179.340,November 2010
DENA BANK,22799,1343.511,56831,4062.710,November 2010
DEUTSCHE BANK,313575,49703.731,132987,28908.659,November 2010
DEVELOPMENT BANK OF SINGAPORE,5423,1194.526,576,656.436,November 2010
DEVELOPMENT CREDIT BANK,9520,619.846,14583,842.393,November 2010
DHANALAKSHMI BANK,12670,453.139,17852,811.503,November 2010
DICGC BANK,0,0.000,41,3.661,November 2010
DOMBIVLI NAGRIK SAHAKARI BANK,727,28.151,2401,71.870,November 2010
FEDERAL BANK,94256,4740.482,102014,4470.821,November 2010
GREATER BOMBAY CO-OP BANK,825,38.583,2515,96.021,November 2010
HDFC BANK,1717786,143812.327,1444813,125698.349,November 2010
HSBC BANK,525875,43837.599,163108,22671.959,November 2010
ICICI BANK,1233181,37314.591,1463305,65853.086,November 2010
IDBI BANK,238902,12957.016,195967,28383.176,November 2010
INDIAN BANK,102537,5916.913,286934,8966.006,November 2010
INDIAN OVERSEAS BANK,121148,12474.780,204960,10533.337,November 2010
INDUSIND BANK,173965,10444.928,47046,3725.120,November 2010
ING VYSYA BANK,77686,3452.505,91706,5593.462,November 2010
JAMMU AND KASHMIR BANK,12458,841.382,16559,1620.684,November 2010
JANAKALYAN SAHAKARI BANK,904,49.683,2952,147.503,November 2010
JP MORGAN BANK,117314,14605.458,2518,446.121,November 2010
KALUPUR COMM CO-OP BANK,1162,97.451,4005,227.933,November 2010
KALYAN JANATA SAHAKARI BANK,347,18.386,888,29.487,November 2010
KAPOLE BANK,147,13.612,624,40.368,November 2010
KARNATAKA BANK,34112,1354.830,53213,2191.380,November 2010
KARNATAKA STATE CO-OP APEX BANK,106,6.344,114,4.695,November 2010
KARUR VYSYA BANK,31159,3055.548,77948,3226.272,November 2010
KOTAK MAHINDRA BANK,206611,8752.577,132296,11622.665,November 2010
LAKSHMI VILAS BANK,38058,1091.627,16625,864.383,November 2010
MAHANAGAR CO-OP BANK,523,39.703,997,47.634,November 2010
MAHARASHTRA STATE CO-OP BANK,447,102.143,1404,145.532,November 2010
MASHREQ BANK,604,216.581,36,2.644,November 2010
MEHSANA URBAN CO-OP BANK,585,56.722,395,40.639,November 2010
MIZUHO CORP BANK,857,37.233,69,30.184,November 2010
NAINITAL BANK,2296,154.647,935,104.246,November 2010
NEW INDIA CO-OP BANK,757,90.118,2202,113.098,November 2010
NKGSB BANK,1252,76.024,3605,204.953,November 2010
NUTAN NAGARIK SAHAKARI BANK,250,18.675,2500,128.003,November 2010
OMAN INTERNATIONAL BANK,1169,84.515,94,7.349,November 2010
ORIENTAL BANK OF COMMERCE,69238,3904.610,138855,10000.943,November 2010
PARSIK JANATA SAHAKARI BANK,443,38.335,2480,81.134,November 2010
PUNJAB AND MAHARASHTRA CO-OP BANK,1322,59.484,5261,194.143,November 2010
PUNJAB AND SIND BANK,3055,243.431,10893,735.186,November 2010
PUNJAB NATIONAL BANK,162899,9844.265,465479,20006.459,November 2010
RATNAKAR BANK,1137,75.151,1670,125.556,November 2010
RBI PAD,16701,17995.889,306,181.760,November 2010
SARASWAT CO-OP BANK,5212,666.470,24582,2162.666,November 2010
SBBJ BANK,52809,3309.550,79865,3915.623,November 2010
SHAMRAO VITHAL CO-OP BANK,4848,378.607,9586,855.833,November 2010
SHINHAN BANK,2658,228.760,204,128.219,November 2010
SOCIETE GENERALE,123,7.553,44,26.726,November 2010
SOUTH INDIAN BANK,39503,1985.830,63102,2368.774,November 2010
STANDARD CHARTERED BANK,750087,52825.011,209224,39296.092,November 2010
STATE BANK OF HYDERABAD,137222,6499.472,188727,6499.589,November 2010
STATE BANK OF INDIA,1538084,67056.972,1934798,92762.920,November 2010
STATE BANK OF MAURITIUS,117,22.940,129,79.704,November 2010
STATE BANK OF MYSORE,61173,2115.594,82847,3663.415,November 2010
STATE BANK OF PATIALA,36004,2623.289,61640,3497.017,November 2010
STATE BANK OF TRAVANCORE,143413,7093.518,152617,5653.710,November 2010
SURAT PEOPLES CO-OP BANK,368,27.777,578,24.853,November 2010
SYNDICATE BANK,71184,3674.094,217074,9286.192,November 2010
TAMIL NADU STATE APEX CO-OP BANK,338,8.804,678,22.701,November 2010
TAMILNADU MERCANTILE BANK,18247,1308.011,36228,1735.369,November 2010
THANE JANATA SAHAKARI BANK,2429,129.181,7409,481.046,November 2010
ROYAL BANK OF SCOTLAND N.V,150195,11174.336,97199,8525.147,November 2010
UCO BANK,41930,2581.896,70163,3188.671,November 2010
UNION BANK OF INDIA,158067,7711.966,296593,16684.243,November 2010
UNITED BANK OF INDIA,32774,2080.557,54823,2237.575,November 2010
VIJAYA BANK,41920,2210.626,97112,4159.355,November 2010
YES BANK,240173,8208.681,22315,2595.353,November 2010
ABHYUDAYA CO-OP BANK,6008,520.129,12694,406.723,December 2010
ABU DHABI COMMERCIAL BANK,782,60.970,265,83.353,December 2010
AHMEDABAD MERCANTILE CO-OP BANK,660,54.911,1446,60.730,December 2010
ALLAHABAD BANK,43314,3421.384,80839,4901.517,December 2010
ANDHRA BANK,76482,9611.818,208936,8679.945,December 2010
AXIS BANK,815324,43898.060,820239,53973.052,December 2010
BANK N PARIBAS,39835,5610.438,56147,13533.365,December 2010
BANK OF AMERICA,82767,10676.236,7741,4638.595,December 2010
BANK OF BAHARIEN AND KUWAIT,34276,1134.911,670,32.622,December 2010
BANK OF BARODA,167934,11345.838,360918,21284.689,December 2010
BANK OF CEYLON,282,6.088,84,5.782,December 2010
BANK OF INDIA,143950,8286.875,376501,19380.816,December 2010
BANK OF MAHARASHTRA,46798,3629.025,111349,5686.351,December 2010
BANK OF NOVA SCOTIA,2669,392.657,562,1076.886,December 2010
BANK OF RAJASTHAN,15802,1387.219,33324,2034.973,December 2010
BANK OF TOKYO AND MITSUBISHI,1652,172.135,768,486.576,December 2010
BARCLAYS BANK,5126,449.167,5831,414.098,December 2010
BASSEIN CATHOLIC CO-OP BANK,434,40.836,757,30.323,December 2010
BHARAT CO-OP BANK,3050,131.324,7692,459.175,December 2010
CANARA BANK,196359,23161.137,382718,24496.287,December 2010
CATHOLIC SYRIAN BANK,9517,565.786,16976,775.715,December 2010
CENTRAL BANK OF INDIA,65871,6050.112,127360,7520.783,December 2010
CHINATRUST COMMERCIAL BANK,59,5.836,42,12.481,December 2010
CITI BANK,1234499,126236.734,460283,51066.451,December 2010
CITIZEN CREDIT CO-OP BANK,766,37.040,2303,117.832,December 2010
CITY UNION BANK,26747,1620.818,36230,1792.692,December 2010
CORP BANK,112123,5271.250,154483,10141.754,December 2010
COSMOS CO-OP BANK,2813,506.495,15774,1128.924,December 2010
CREDIT AGRICOLE CORP AND INVESTMENT BANK,741,894.775,257,176.088,December 2010
DENA BANK,29372,2040.923,70284,5606.278,December 2010
DEUTSCHE BANK,386981,41090.553,159705,23283.719,December 2010
DEVELOPMENT BANK OF SINGAPORE,6305,1107.299,724,995.095,December 2010
DEVELOPMENT CREDIT BANK,12106,530.310,16548,1724.209,December 2010
DHANALAKSHMI BANK,16119,1172.943,20625,1076.107,December 2010
DICGC BANK,0,0.000,10,0.829,December 2010
DOMBIVLI NAGRIK SAHAKARI BANK,1469,77.667,2797,80.233,December 2010
FEDERAL BANK,109382,5567.652,112004,5353.570,December 2010
FIRSTRAND BANK,214,15.476,13,0.855,December 2010
GREATER BOMBAY CO-OP BANK,1318,162.838,2895,114.879,December 2010
HDFC BANK,1985564,137883.189,1707021,140600.137,December 2010
HSBC BANK,594456,49237.418,184052,24737.380,December 2010
ICICI BANK,1387813,43431.424,1602966,79282.484,December 2010
IDBI BANK,313028,20295.355,234150,27877.298,December 2010
INDIAN BANK,119527,6012.781,312722,11037.621,December 2010
INDIAN OVERSEAS BANK,139538,13379.076,236164,14298.101,December 2010
INDUSIND BANK,192711,9642.082,55815,4673.709,December 2010
ING VYSYA BANK,105535,6511.881,105657,9263.927,December 2010
JAMMU AND KASHMIR BANK,16434,1243.389,19136,3495.371,December 2010
JANAKALYAN SAHAKARI BANK,1254,235.272,3326,243.620,December 2010
JP MORGAN BANK,162783,13835.110,1825,2153.416,December 2010
KALUPUR COMM CO-OP BANK,1895,185.472,3565,181.526,December 2010
KALYAN JANATA SAHAKARI BANK,475,32.770,1107,37.457,December 2010
KAPOLE BANK,212,20.449,753,46.171,December 2010
KARNATAKA BANK,40829,1901.225,63195,2849.324,December 2010
KARNATAKA STATE CO-OP APEX BANK,155,11.508,183,11.723,December 2010
KARUR VYSYA BANK,39542,3731.147,90915,3775.663,December 2010
KOTAK MAHINDRA BANK,200038,10389.220,147590,11432.385,December 2010
LAKSHMI VILAS BANK,45115,1433.751,20305,1117.186,December 2010
MAHANAGAR CO-OP BANK,721,57.074,1144,57.064,December 2010
MAHARASHTRA STATE CO-OP BANK,544,39.048,1484,154.360,December 2010
MASHREQ BANK,673,302.360,33,6.230,December 2010
MEHSANA URBAN CO-OP BANK,1070,126.883,452,49.071,December 2010
MIZUHO CORP BANK,1361,78.453,97,110.156,December 2010
NAINITAL BANK,3077,229.644,1609,165.891,December 2010
NEW INDIA CO-OP BANK,954,142.760,2535,134.069,December 2010
NKGSB BANK,1568,122.717,4218,245.437,December 2010
NUTAN NAGARIK SAHAKARI BANK,363,29.441,2109,89.360,December 2010
OMAN INTERNATIONAL BANK,1092,89.083,120,19.355,December 2010
ORIENTAL BANK OF COMMERCE,88413,6091.107,166771,13118.570,December 2010
PARSIK JANATA SAHAKARI BANK,595,50.346,2666,85.825,December 2010
PUNJAB AND MAHARASHTRA CO-OP BANK,1550,84.061,6159,224.534,December 2010
PUNJAB AND SIND BANK,4258,377.802,13905,1153.930,December 2010
PUNJAB NATIONAL BANK,197710,15162.269,565157,25899.613,December 2010
RATNAKAR BANK,1281,123.031,1959,224.740,December 2010
RBI PAD,22100,33260.555,402,234.195,December 2010
RAJKOT NAGARIK SAHAKARI BANK,19,0.013,6,0.544,December 2010
SARASWAT CO-OP BANK,6880,712.312,28572,2696.165,December 2010
SBBJ BANK,67567,5206.930,94686,5404.176,December 2010
SHAMRAO VITHAL CO-OP BANK,6559,505.794,13757,984.745,December 2010
SHINHAN BANK,2658,262.344,211,120.396,December 2010
SOCIETE GENERALE,139,9.137,59,18.152,December 2010
SOUTH INDIAN BANK,46551,2784.183,74302,3305.764,December 2010
STANDARD CHARTERED BANK,737636,63406.447,221575,49671.113,December 2010
